档位,院校代号,院校名称,所在省,城市,城市标签,院校标签,院校水平,类型,公私性质,保研率,院校排名,2025投档线,位次比值,院校专业组代码,专业组名称,专业代码,专业名称,专业备注,学制,学费,计划人数,25专业最低分,25专业最低位次
冲,5112,西南民族大学,四川,成都,新一线/省会,国重点/保研资格,卓越法律/卓越农林/部委直属,民族,公办,5.3%,207,305.4,1.09,5112104,第104组(美术与设计类),005,动画,,四年,12000,3,305.4,31
冲,5112,西南民族大学,四川,成都,新一线/省会,国重点/保研资格,卓越法律/卓越农林/部委直属,民族,公办,5.3%,207,305.4,1.09,5112104,第104组(美术与设计类),006,绘画,,四年,12000,5,305.4,31
冲,5112,西南民族大学,四川,成都,新一线/省会,国重点/保研资格,卓越法律/卓越农林/部委直属,民族,公办,5.3%,207,305.4,1.09,5112104,第104组(美术与设计类),007,雕塑,,四年,12000,3,305.4,31
冲,6114,西安外国语大学,陕西,西安,新一线/省会,省重点/保研资格,,语言,公办,4.3%,241,305.5,1.08,6114104,第104组(美术与设计类),002,数字媒体艺术,,四年,14000,2,305.5,31
冲,4312,中南林业科技大学,湖南,长沙,新一线/省会,省重点/保研资格,原林业部直属/卓越农林/省部共建,农林,公办,5.5%,219,305.6,1.07,4312103,第103组(美术与设计类),005,视觉传达设计,,四年,8000,33,305.6,31
冲,4312,中南林业科技大学,湖南,长沙,新一线/省会,省重点/保研资格,原林业部直属/卓越农林/省部共建,农林,公办,5.5%,219,305.6,1.07,4312103,第103组(美术与设计类),006,环境设计,,四年,8000,73,305.6,31
冲,4312,中南林业科技大学,湖南,长沙,新一线/省会,省重点/保研资格,原林业部直属/卓越农林/省部共建,农林,公办,5.5%,219,305.6,1.07,4312103,第103组(美术与设计类),007,产品设计,,四年,8000,49,305.6,31
冲,3320,浙江科技大学,浙江,杭州,新一线/省会,,卓越工程师,理工,公办,,232,305.7,1.06,3320101,第101组(美术与设计类),001,动画,第一学年在安吉校区，第二学年起在小和山校区。,四年,9000,6,305.7,31
冲,3320,浙江科技大学,浙江,杭州,新一线/省会,,卓越工程师,理工,公办,,232,305.7,1.06,3320101,第101组(美术与设计类),002,产品设计,第一学年在安吉校区，第二学年起在小和山校区。,四年,9000,3,305.7,31
冲,3320,浙江科技大学,浙江,杭州,新一线/省会,,卓越工程师,理工,公办,,232,305.7,1.06,3320101,第101组(美术与设计类),003,视觉传达设计,第一学年在安吉校区，第二学年起在小和山校区。,四年,10350,1,305.7,31
冲,3320,浙江科技大学,浙江,杭州,新一线/省会,,卓越工程师,理工,公办,,232,305.7,1.06,3320101,第101组(美术与设计类),004,环境设计,第一学年在安吉校区，第二学年起在小和山校区。,四年,10350,8,305.7,31
冲,3320,浙江科技大学,浙江,杭州,新一线/省会,,卓越工程师,理工,公办,,232,305.7,1.06,3320101,第101组(美术与设计类),005,服装与服饰设计,第一学年在安吉校区，第二学年起在小和山校区。,四年,10350,13,305.7,31
冲,1128,北京联合大学,北京,朝阳区,一线,保研资格,,综合,公办,,306,306.4,1.02,1128102,第102组(美术与设计类),003,视觉传达设计,,四年,10000,2,306.4,31
冲,1128,北京联合大学,北京,朝阳区,一线,保研资格,,综合,公办,,306,306.4,1.02,1128102,第102组(美术与设计类),004,环境设计,,四年,10000,2,306.4,31
冲,1128,北京联合大学,北京,朝阳区,一线,保研资格,,综合,公办,,306,306.4,1.02,1128102,第102组(美术与设计类),006,数字媒体艺术,,四年,10000,2,306.4,31
冲,1304,燕山大学,河北,秦皇岛,四线,省重点/保研资格,原机械部直属/卓越工程师/机械四小龙/省部共建,综合,公办,11.8%,109,306.4,1.02,1304104,第104组(美术与设计类),004,设计学类,包含专业:视觉传达设计、环境设计、产品设计。,四年,8000,20,306.4,31
冲,6107,陕西科技大学,陕西,西安,新一线/省会,省重点/保研资格,原轻工业部直属/卓越工程师,理工,公办,6.0%,132,306.5,1.01,6107102,第102组(美术与设计类),002,设计学类,包含专业:动画、视觉传达设计、环境设计、服装与服饰设计、艺术与科技。,四年,15120,8,306.5,31
冲,1411,中北大学,山西,太原,二线/省会,省重点/保研资格,原兵器部直属/卓越工程师/兵工七子/省部共建,综合,公办,5.1%,144,306.7,1.0,1411104,第104组(美术与设计类),005,视觉传达设计,,四年,8970,5,306.7,31
冲,5307,云南艺术学院,云南,昆明,二线/省会,,,艺术,公办,,/,306.7,1.0,5307119,第119组(美术与设计类),023,美术学(史论),,四年,8500,1,301.3,31
冲,5307,云南艺术学院,云南,昆明,二线/省会,,,艺术,公办,,/,306.7,1.0,5307119,第119组(美术与设计类),024,绘画,,四年,10000,6,301.3,31
冲,5307,云南艺术学院,云南,昆明,二线/省会,,,艺术,公办,,/,306.7,1.0,5307119,第119组(美术与设计类),025,雕塑,,五年,10000,1,301.3,31
冲,5307,云南艺术学院,云南,昆明,二线/省会,,,艺术,公办,,/,306.7,1.0,5307119,第119组(美术与设计类),026,摄影,,四年,10000,1,301.3,31
冲,5307,云南艺术学院,云南,昆明,二线/省会,,,艺术,公办,,/,306.7,1.0,5307119,第119组(美术与设计类),027,中国画,,四年,10000,1,301.3,31
冲,5307,云南艺术学院,云南,昆明,二线/省会,,,艺术,公办,,/,306.7,1.0,5307120,第120组(美术与设计类),028,戏剧影视美术设计(舞台设计),,四年,10000,1,306.7,31
冲,5307,云南艺术学院,云南,昆明,二线/省会,,,艺术,公办,,/,306.7,1.0,5307120,第120组(美术与设计类),029,影视摄影与制作,,四年,10000,2,306.7,31
冲,5307,云南艺术学院,云南,昆明,二线/省会,,,艺术,公办,,/,306.7,1.0,5307120,第120组(美术与设计类),030,视觉传达设计,,四年,10000,2,306.7,31
冲,5307,云南艺术学院,云南,昆明,二线/省会,,,艺术,公办,,/,306.7,1.0,5307120,第120组(美术与设计类),031,环境设计,,四年,10000,2,306.7,31
冲,5307,云南艺术学院,云南,昆明,二线/省会,,,艺术,公办,,/,306.7,1.0,5307120,第120组(美术与设计类),032,产品设计,,四年,10000,1,306.7,31
冲,5307,云南艺术学院,云南,昆明,二线/省会,,,艺术,公办,,/,306.7,1.0,5307120,第120组(美术与设计类),033,服装与服饰设计,,四年,10000,1,306.7,31
冲,5307,云南艺术学院,云南,昆明,二线/省会,,,艺术,公办,,/,306.7,1.0,5307120,第120组(美术与设计类),034,数字媒体艺术,,四年,10000,2,306.7,31
冲,3603,华东交通大学,江西,南昌,二线/省会,省重点/保研资格,原铁道部直属/卓越工程师/省部共建,理工,公办,4.7%,194,307.1,0.98,3603104,第104组(美术与设计类),005,数字媒体艺术,,四年,9600,4,307.1,31
冲,3603,华东交通大学,江西,南昌,二线/省会,省重点/保研资格,原铁道部直属/卓越工程师/省部共建,理工,公办,4.7%,194,307.1,0.98,3603104,第104组(美术与设计类),006,环境设计,不招色盲、单色识别不全的考生,四年,9600,2,307.1,31
冲,3605,南昌航空大学,江西,南昌,二线/省会,省重点/保研资格,原航空航天部直属/卓越工程师/省部共建,理工,公办,6.8%,181,307.2,0.97,3605102,第102组(美术与设计类),002,动画,不招色盲且不招单色识别不全者,四年,9600,4,307.2,31
冲,3605,南昌航空大学,江西,南昌,二线/省会,省重点/保研资格,原航空航天部直属/卓越工程师/省部共建,理工,公办,6.8%,181,307.2,0.97,3605102,第102组(美术与设计类),003,环境设计,不招色盲且不招单色识别不全者,四年,9600,4,307.2,31
冲,3731,齐鲁工业大学,山东,济南,二线/省会,保研资格,,理工,公办,,151,307.5,0.96,3731101,第101组(美术与设计类),001,服装与服饰设计,不招色盲考生。,四年,10120,2,307.5,31
冲,4220,长江大学,湖北,荆州,三线,省重点/保研资格,原石油部直属/卓越工程师/卓越医生/卓越农林/省部共建,综合,公办,5.6%,184,307.5,0.96,4220104,第104组(美术与设计类),005,美术学(师范类),不招色盲考生,四年,10350,1,307.5,31
冲,4220,长江大学,湖北,荆州,三线,省重点/保研资格,原石油部直属/卓越工程师/卓越医生/卓越农林/省部共建,综合,公办,5.6%,184,307.5,0.96,4220105,第105组(美术与设计类),006,视觉传达设计,不招色盲考生,四年,10350,2,307.5,31
冲,4219,中南民族大学,湖北,武汉,新一线/省会,省重点/保研资格,部委直属,综合,公办,5.3%,159,307.6,0.95,4219105,第105组(美术与设计类),005,动画,单色不识别、色盲不予录取，详见学校招生章程,四年,10350,3,307.6,31
冲,4219,中南民族大学,湖北,武汉,新一线/省会,省重点/保研资格,部委直属,综合,公办,5.3%,159,307.6,0.95,4219105,第105组(美术与设计类),006,美术学,单色不识别、色盲不予录取，详见学校招生章程,四年,10350,8,307.6,31
冲,4219,中南民族大学,湖北,武汉,新一线/省会,省重点/保研资格,部委直属,综合,公办,5.3%,159,307.6,0.95,4219105,第105组(美术与设计类),007,视觉传达设计,单色不识别、色盲不予录取，详见学校招生章程,四年,10350,6,307.6,31
冲,4219,中南民族大学,湖北,武汉,新一线/省会,省重点/保研资格,部委直属,综合,公办,5.3%,159,307.6,0.95,4219105,第105组(美术与设计类),008,环境设计,单色不识别、色盲不予录取，详见学校招生章程,四年,10350,8,307.6,31
冲,2106,大连交通大学,辽宁,大连,二线,省重点/保研资格,原铁道部直属/卓越工程师/省部共建,理工,公办,5.2%,249,307.9,0.93,2106101,第101组(美术与设计类),001,产品设计,,四年,10000,2,307.9,31
冲,2106,大连交通大学,辽宁,大连,二线,省重点/保研资格,原铁道部直属/卓越工程师/省部共建,理工,公办,5.2%,249,307.9,0.93,2106101,第101组(美术与设计类),002,动画,不录取色盲考生,四年,10000,2,307.9,31
冲,4345,长沙师范学院,湖南,长沙,新一线/省会,,卓越教师,师范,公办,,500+,307.9,0.93,4345109,第109组(美术与设计类),006,服装与服饰设计,,四年,8000,19,288.5,31
冲,4345,长沙师范学院,湖南,长沙,新一线/省会,,卓越教师,师范,公办,,500+,307.9,0.93,4345109,第109组(美术与设计类),007,艺术与科技,,四年,8000,55,288.5,31
冲,4345,长沙师范学院,湖南,长沙,新一线/省会,,卓越教师,师范,公办,,500+,307.9,0.93,4345109,第109组(美术与设计类),009,动画,色盲考生不宜报考,四年,8000,34,288.5,31
冲,4345,长沙师范学院,湖南,长沙,新一线/省会,,卓越教师,师范,公办,,500+,307.9,0.93,4345109,第109组(美术与设计类),010,美术学,色盲考生不宜报考,四年,8000,52,288.5,31
冲,4345,长沙师范学院,湖南,长沙,新一线/省会,,卓越教师,师范,公办,,500+,307.9,0.93,4345G05,第G05组(洞口县)(省内优师专项(初中教师)(美术))(美术与设计类),072,美术学,初中教师；色盲考生不宜报考,四年,免费,1,288.5,31
冲,4345,长沙师范学院,湖南,长沙,新一线/省会,,卓越教师,师范,公办,,500+,307.9,0.93,4345G06,第G06组(麻阳苗族自治县)(省内优师专项(初中教师)(美术))(美术与设计类),073,美术学,初中教师；色盲考生不宜报考,四年,免费,1,288.5,31
冲,4345,长沙师范学院,湖南,长沙,新一线/省会,,卓越教师,师范,公办,,500+,307.9,0.93,4345G07,第G07组(花垣县)(省内优师专项(初中教师)(美术))(美术与设计类),074,美术学,初中教师；色盲考生不宜报考,四年,免费,1,288.5,31
冲,6129,西安科技大学,陕西,西安,新一线/省会,省重点/保研资格,原煤炭部直属/卓越工程师/省部共建,理工,公办,5.7%,186,307.9,0.93,6129101,第101组(美术与设计类),001,设计学类,包含专业:视觉传达设计、产品设计。,四年,15120,1,307.9,31
冲,2133,鲁迅美术学院,辽宁,沈阳,新一线/省会,无,八大美院/独立设置艺术院校,艺术,公办,,,308.2,0.92,2133101,第101组(美术与设计类),006,文物保护与修复,,四年,14000,1,308.2,31
冲,2133,鲁迅美术学院,辽宁,沈阳,新一线/省会,无,八大美院/独立设置艺术院校,艺术,公办,,,308.2,0.92,2133102,第102组(美术与设计类),007,摄影,,四年,13000,1,308.2,31
冲,2133,鲁迅美术学院,辽宁,沈阳,新一线/省会,无,八大美院/独立设置艺术院校,艺术,公办,,,308.2,0.92,2133103,第103组(美术与设计类),008,影视摄影与制作,,四年,13000,1,308.2,31
冲,2133,鲁迅美术学院,辽宁,沈阳,新一线/省会,无,八大美院/独立设置艺术院校,艺术,公办,,,308.2,0.92,2133104,第104组(美术与设计类),009,环境设计,,四年,15400,1,309.1,31
冲,2133,鲁迅美术学院,辽宁,沈阳,新一线/省会,无,八大美院/独立设置艺术院校,艺术,公办,,,308.2,0.92,2133105,第105组(美术与设计类),010,公共艺术,,四年,14000,1,309.1,31
冲,2133,鲁迅美术学院,辽宁,沈阳,新一线/省会,无,八大美院/独立设置艺术院校,艺术,公办,,,308.2,0.92,2133106,第106组(美术与设计类),011,实验艺术,,四年,14000,1,308.2,31
冲,2133,鲁迅美术学院,辽宁,沈阳,新一线/省会,无,八大美院/独立设置艺术院校,艺术,公办,,,308.2,0.92,2133108,第108组(美术与设计类),013,戏剧影视美术设计,,四年,14000,1,309.1,31
冲,2133,鲁迅美术学院,辽宁,沈阳,新一线/省会,无,八大美院/独立设置艺术院校,艺术,公办,,,308.2,0.92,2133109,第109组(美术与设计类),014,艺术与科技,,四年,14000,1,309.1,31
冲,2133,鲁迅美术学院,辽宁,沈阳,新一线/省会,无,八大美院/独立设置艺术院校,艺术,公办,,,308.2,0.92,2133110,第110组(美术与设计类),015,工艺美术,,四年,14000,1,309.1,31
冲,2133,鲁迅美术学院,辽宁,沈阳,新一线/省会,无,八大美院/独立设置艺术院校,艺术,公办,,,308.2,0.92,2133113,第113组(美术与设计类),016,美术学,,四年,8000,1,312.8,31
冲,2133,鲁迅美术学院,辽宁,沈阳,新一线/省会,无,八大美院/独立设置艺术院校,艺术,公办,,,308.2,0.92,2133114,第114组(美术与设计类),017,艺术设计学,,四年,8000,1,312.8,31
冲,4605,海南师范大学,海南,海口,三线/省会,省重点/保研资格,卓越教师/省部共建,师范,公办,1.6%,227,308.5,0.9,4605109,第109组(美术与设计类),012,美术学(师范),不招色盲或单色识别不全者。,四年,8800,3,308.5,31
冲,4605,海南师范大学,海南,海口,三线/省会,省重点/保研资格,卓越教师/省部共建,师范,公办,1.6%,227,308.5,0.9,4605109,第109组(美术与设计类),013,设计学类,不招色盲或单色识别不全者。 包含专业:视觉传达设计、环境设计、服装与服饰设计。,四年,8800,6,308.5,31
冲,6112,西安建筑科技大学,陕西,西安,新一线/省会,省重点/保研资格,原冶金部直属/卓越工程师/建筑老八校/省部共建,理工,公办,5.6%,118,308.5,0.9,6112101,第101组(美术与设计类),003,美术学类,包含专业:绘画、雕塑。,四年,15120,2,308.5,31
冲,6112,西安建筑科技大学,陕西,西安,新一线/省会,省重点/保研资格,原冶金部直属/卓越工程师/建筑老八校/省部共建,理工,公办,5.6%,118,308.5,0.9,6112101,第101组(美术与设计类),004,设计学类,包含专业:环境设计、视觉传达设计、艺术与科技。,四年,15120,2,308.5,31
稳,4310,湖南工业大学,湖南,株洲,三线,省重点,原包装总公司直属/省部共建,理工,公办,,293,302.5,1.3,4310106,第106组(美术与设计类),008,视觉传达设计,不招色盲,四年,8000,45,302.5,31
稳,4310,湖南工业大学,湖南,株洲,三线,省重点,原包装总公司直属/省部共建,理工,公办,,293,302.5,1.3,4310106,第106组(美术与设计类),009,环境设计,不招色盲,四年,8000,50,302.5,31
稳,4310,湖南工业大学,湖南,株洲,三线,省重点,原包装总公司直属/省部共建,理工,公办,,293,302.5,1.3,4310106,第106组(美术与设计类),010,服装与服饰设计,不招色盲,四年,8000,25,302.5,31
稳,4310,湖南工业大学,湖南,株洲,三线,省重点,原包装总公司直属/省部共建,理工,公办,,293,302.5,1.3,4310106,第106组(美术与设计类),011,数字媒体艺术,不招色盲,四年,8000,47,302.5,31
稳,4310,湖南工业大学,湖南,株洲,三线,省重点,原包装总公司直属/省部共建,理工,公办,,293,302.5,1.3,4310106,第106组(美术与设计类),012,包装设计,不招色盲,四年,8000,33,302.5,31
稳,4310,湖南工业大学,湖南,株洲,三线,省重点,原包装总公司直属/省部共建,理工,公办,,293,302.5,1.3,4310107,第107组(美术与设计类),013,陶瓷艺术设计,不招色盲,四年,8000,40,294.7,31
稳,3223,江苏师范大学,江苏,徐州,二线,省重点/保研资格,卓越教师/省部共建,综合 师范,公办,7.3%,172,303.1,1.25,3223106,第106组(美术与设计类),009,影视摄影与制作,报考该专业有色觉要求，具体请查阅院校招生章程,四年,6800,10,303.1,31
稳,5117,西南科技大学,四川,绵阳,三线,省重点/保研资格,原建材总局直属/卓越工程师/省部共建,理工,公办,8.0%,205,303.1,1.25,5117102,第102组(美术与设计类),006,数字媒体艺术,,四年,9600,8,303.1,31
稳,4504,桂林电子科技大学,广西,桂林,三线,省重点/保研资格,原电子工业部直属/卓越工程师/省部共建,理工,公办,1.0%,183,303.4,1.23,4504101,第101组(美术与设计类),001,动画,不招色盲考生，详见学校招生章程,四年,12000,2,303.4,31
稳,4504,桂林电子科技大学,广西,桂林,三线,省重点/保研资格,原电子工业部直属/卓越工程师/省部共建,理工,公办,1.0%,183,303.4,1.23,4504101,第101组(美术与设计类),002,服装与服饰设计,不招色盲考生，详见学校招生章程,四年,12000,2,303.4,31
稳,6209,西北师范大学,甘肃,兰州,二线/省会,省重点/保研资格,卓越教师/省部共建,综合,公办,15.6%,154,303.6,1.21,6209104,第104组(美术与设计类),006,美术学(师范),,四年,9300,2,303.5,31
稳,6209,西北师范大学,甘肃,兰州,二线/省会,省重点/保研资格,卓越教师/省部共建,综合,公办,15.6%,154,303.6,1.21,6209104,第104组(美术与设计类),007,数字媒体艺术,,四年,9300,2,303.6,31
稳,4348,湖南第一师范学院,湖南,长沙,新一线/省会,,卓越教师,师范,公办,,346,303.9,1.19,4348127,第127组(美术与设计类),006,美术学(师范),不招色盲,四年,5400,86,298.3,31
稳,4348,湖南第一师范学院,湖南,长沙,新一线/省会,,卓越教师,师范,公办,,346,303.9,1.19,4348127,第127组(美术与设计类),007,视觉传达设计,不招色盲,四年,8000,41,298.3,31
稳,4348,湖南第一师范学院,湖南,长沙,新一线/省会,,卓越教师,师范,公办,,346,303.9,1.19,4348127,第127组(美术与设计类),008,环境设计,不招色盲,四年,8000,41,298.3,31
稳,4348,湖南第一师范学院,湖南,长沙,新一线/省会,,卓越教师,师范,公办,,346,303.9,1.19,4348G45,第G45组(麻阳苗族自治县)(省内优师专项(小学教师)(美术))(美术与设计类),197,美术学,不招色盲，小学教师,四年,免费,1,298.3,31
稳,3319,温州大学,浙江,温州,二线,省重点,,综合,公办,,129,304.3,1.16,3319104,第104组(美术与设计类),005,服装与服饰设计(服装设计、服装展示设计、鞋靴设计),要求外语成绩不低于50分。,四年,10350,6,304.3,31
稳,3319,温州大学,浙江,温州,二线,省重点,,综合,公办,,129,304.3,1.16,3319104,第104组(美术与设计类),006,环境设计,要求外语成绩不低于50分。,四年,10350,3,304.3,31
稳,3607,东华理工大学,江西,南昌,二线/省会,省重点/保研资格,原核工业部直属/卓越工程师/省部共建,理工,公办,0.6%,229,304.5,1.15,3607102,第102组(美术与设计类),003,环境设计,,四年,9600,3,304.5,31
稳,4235,三峡大学,湖北,宜昌,三线,省重点/保研资格,原电力部直属/卓越工程师/省部共建,综合,公办,6.3%,174,304.7,1.14,4235104,第104组(美术与设计类),005,美术学,要求无色弱、色盲,四年,10350,2,303.6,31
稳,4235,三峡大学,湖北,宜昌,三线,省重点/保研资格,原电力部直属/卓越工程师/省部共建,综合,公办,6.3%,174,304.7,1.14,4235105,第105组(美术与设计类),006,视觉传达设计,要求无色弱、色盲,四年,10350,5,304.7,31
稳,3710,青岛科技大学,山东,青岛,新一线,省重点/保研资格,原化工部直属/卓越工程师,理工,公办,4.8%,167,304.9,1.12,3710101,第101组(美术与设计类),003,环境设计(虚拟现实方向),,四年,8800,4,304.9,31
稳,3710,青岛科技大学,山东,青岛,新一线,省重点/保研资格,原化工部直属/卓越工程师,理工,公办,4.8%,167,304.9,1.12,3710101,第101组(美术与设计类),004,绘画,,四年,8800,6,304.9,31
稳,3710,青岛科技大学,山东,青岛,新一线,省重点/保研资格,原化工部直属/卓越工程师,理工,公办,4.8%,167,304.9,1.12,3710101,第101组(美术与设计类),005,视觉传达设计,,四年,8800,2,304.9,31
稳,4230,武汉轻工大学,湖北,武汉,新一线/省会,省重点/保研资格,原商业部直属/卓越农林/省部共建,理工,公办,2.0%,257,305.0,1.11,4230101,第101组(美术与设计类),001,设计学类,包含专业:视觉传达设计、产品设计、艺术与科技。,四年,10350,5,305,31
稳,4252,江汉大学,湖北,武汉,新一线/省会,保研资格,,综合,公办,2.0%,265,305.0,1.11,4252105,第105组(美术与设计类),007,美术学(师范),,四年,10000,3,305,31
稳,4252,江汉大学,湖北,武汉,新一线/省会,保研资格,,综合,公办,2.0%,265,305.0,1.11,4252105,第105组(美术与设计类),008,产品设计(数智产品与服务设计),,四年,10000,1,305,31
稳,4252,江汉大学,湖北,武汉,新一线/省会,保研资格,,综合,公办,2.0%,265,305.0,1.11,4252105,第105组(美术与设计类),010,视觉传达设计,,四年,10000,1,305,31
稳,4252,江汉大学,湖北,武汉,新一线/省会,保研资格,,综合,公办,2.0%,265,305.0,1.11,4252105,第105组(美术与设计类),011,公共艺术,,四年,10000,1,305,31
保,4415,广东海洋大学,广东,湛江,三线,省重点/保研资格,卓越农林/省部共建,农林,公办,2.2%,298,300.0,1.49,4415104,第104组(美术与设计类),004,视觉传达设计,不招收色盲者,四年,10000,1,300,31
保,4415,广东海洋大学,广东,湛江,三线,省重点/保研资格,卓越农林/省部共建,农林,公办,2.2%,298,300.0,1.49,4415104,第104组(美术与设计类),005,环境设计,不招收色盲者,四年,10000,1,300,31
保,4415,广东海洋大学,广东,湛江,三线,省重点/保研资格,卓越农林/省部共建,农林,公办,2.2%,298,300.0,1.49,4415104,第104组(美术与设计类),006,产品设计,不招收色盲者,四年,10000,1,300,31
保,3262,南京晓庄学院,江苏,南京,新一线/省会,,,师范,公办,,333,300.3,1.46,3262102,第102组(美术与设计类),002,美术学(师范),,四年,6800,2,300.3,31
保,4509,广西师范大学,广西,桂林,三线,省重点/保研资格,卓越教师/省部共建,师范,公办,4.9%,149,300.3,1.46,4509102,第102组(美术与设计类),003,美术学(师范),不招色盲及单色识别不全考生,四年,12000,2,300.3,31
保,4509,广西师范大学,广西,桂林,三线,省重点/保研资格,卓越教师/省部共建,师范,公办,4.9%,149,300.3,1.46,4509102,第102组(美术与设计类),004,动画,不招色盲及单色识别不全考生,四年,12000,2,300.3,31
保,4509,广西师范大学,广西,桂林,三线,省重点/保研资格,卓越教师/省部共建,师范,公办,4.9%,149,300.3,1.46,4509102,第102组(美术与设计类),005,绘画,不招色盲及单色识别不全考生,四年,12000,2,300.3,31
保,4509,广西师范大学,广西,桂林,三线,省重点/保研资格,卓越教师/省部共建,师范,公办,4.9%,149,300.3,1.46,4509102,第102组(美术与设计类),006,视觉传达设计,不招色盲及单色识别不全考生,四年,12000,2,300.3,31
保,4509,广西师范大学,广西,桂林,三线,省重点/保研资格,卓越教师/省部共建,师范,公办,4.9%,149,300.3,1.46,4509102,第102组(美术与设计类),007,环境设计,不招色盲及单色识别不全考生,四年,12000,3,300.3,31
保,4509,广西师范大学,广西,桂林,三线,省重点/保研资格,卓越教师/省部共建,师范,公办,4.9%,149,300.3,1.46,4509102,第102组(美术与设计类),008,服装与服饰设计,不招色盲及单色识别不全考生,四年,12000,2,300.3,31
保,2117,沈阳建筑大学,辽宁,沈阳,新一线/省会,省重点/保研资格,原建设部直属/卓越工程师/建筑新八校/省部共建,理工,公办,6.5%,222,300.5,1.44,2117101,第101组(美术与设计类),001,动画,不招收色盲、单色识别不全考生,四年,10000,1,,
保,2117,沈阳建筑大学,辽宁,沈阳,新一线/省会,省重点/保研资格,原建设部直属/卓越工程师/建筑新八校/省部共建,理工,公办,6.5%,222,300.5,1.44,2117101,第101组(美术与设计类),002,环境设计,不招收色盲、单色识别不全考生,四年,10000,2,,
保,3612,江西农业大学,江西,南昌,二线/省会,国重点/保研资格,卓越农林/省部共建,农林,公办,7.6%,207,300.8,1.42,3612102,第102组(美术与设计类),002,数字媒体艺术,,四年,9600,2,300.8,31
保,3612,江西农业大学,江西,南昌,二线/省会,国重点/保研资格,卓越农林/省部共建,农林,公办,7.6%,207,300.8,1.42,3612102,第102组(美术与设计类),003,环境设计,身体条件要求详见学校招生章程,四年,9600,2,300.8,31
保,4803,深圳北理莫斯科大学,广东,深圳,一线,,,理工,中外合作办学,,108,300.8,1.42,4803102,第102组(美术与设计类),019,绘画(中外合作办学),"注册深圳北理莫斯科大学学籍,毕业达到要求颁发深圳北理莫斯科大学学历学位证书;若参加并通过莫斯科大学学籍注册考试,则同时注册莫斯科大学学籍,符合莫斯科大学规定的本科毕业生,颁发莫斯科大学毕业(含学士学位)证书；不招色盲者。",四年,90000,5,300.8,31
保,4306,湖南科技大学,湖南,湘潭,四线,省重点/保研资格,原煤炭部直属/卓越工程师/省部共建,综合,公办,4.2%,189,300.9,1.41,4306114,第114组(美术与设计类),006,美术学,,四年,8000,126,300.9,31
保,4306,湖南科技大学,湖南,湘潭,四线,省重点/保研资格,原煤炭部直属/卓越工程师/省部共建,综合,公办,4.2%,189,300.9,1.41,4306114,第114组(美术与设计类),007,雕塑,,四年,8000,9,300.9,31
保,4306,湖南科技大学,湖南,湘潭,四线,省重点/保研资格,原煤炭部直属/卓越工程师/省部共建,综合,公办,4.2%,189,300.9,1.41,4306114,第114组(美术与设计类),008,视觉传达设计,,四年,8000,68,300.9,31
保,4306,湖南科技大学,湖南,湘潭,四线,省重点/保研资格,原煤炭部直属/卓越工程师/省部共建,综合,公办,4.2%,189,300.9,1.41,4306114,第114组(美术与设计类),009,产品设计,,四年,8000,88,300.9,31
保,4306,湖南科技大学,湖南,湘潭,四线,省重点/保研资格,原煤炭部直属/卓越工程师/省部共建,综合,公办,4.2%,189,300.9,1.41,4306B11,第B11组(娄星区)(省内公费师范生(高中教师)(美术))(美术与设计类),287,美术学,,四年,免费,1,300.9,31
保,4306,湖南科技大学,湖南,湘潭,四线,省重点/保研资格,原煤炭部直属/卓越工程师/省部共建,综合,公办,4.2%,189,300.9,1.41,4306G26,第G26组(辰溪县)(省内优师专项(高中教师)(美术))(美术与设计类),320,美术学,,四年,免费,1,300.9,31
保,4306,湖南科技大学,湖南,湘潭,四线,省重点/保研资格,原煤炭部直属/卓越工程师/省部共建,综合,公办,4.2%,189,300.9,1.41,4306G27,第G27组(麻阳苗族自治县)(省内优师专项(高中教师)(美术))(美术与设计类),321,美术学,,四年,免费,2,300.9,31
保,3510,厦门理工学院,福建,厦门,二线,省重点,卓越工程师,理工,公办,,246,301.3,1.39,3510103,第103组(美术与设计类),004,数字媒体艺术,,四年,8640,5,301.3,31
保,3510,厦门理工学院,福建,厦门,二线,省重点,卓越工程师,理工,公办,,246,301.3,1.39,3510103,第103组(美术与设计类),005,视觉传达设计,不招收色觉异常Ⅱ度（俗称色盲）考生,四年,8640,3,301.3,31
保,3510,厦门理工学院,福建,厦门,二线,省重点,卓越工程师,理工,公办,,246,301.3,1.39,3510103,第103组(美术与设计类),006,服装与服饰设计,不招收色觉异常Ⅱ度（俗称色盲）考生,四年,8640,5,301.3,31
保,3750,曲阜师范大学,山东,济宁,三线,省重点/保研资格,,师范,公办,7.7%,164,301.7,1.35,3750102,第102组(美术与设计类),004,环境设计,,四年,8800,5,301.7,31
保,3750,曲阜师范大学,山东,济宁,三线,省重点/保研资格,,师范,公办,7.7%,164,301.7,1.35,3750102,第102组(美术与设计类),005,视觉传达设计,,四年,10560,6,301.7,31
保,4305,湖南农业大学,湖南,长沙,新一线/省会,省重点/保研资格/乡村振兴人才培养优质校,卓越农林/乡村振兴优质校/省部共建,农林,公办,3.7%,166,302.4,1.3,4305103,第103组(美术与设计类),002,设计学类,包含专业:视觉传达设计、产品设计、环境设计。,四年,6000,135,302.4,31
