档位,院校代号,院校名称,专业组类型,2025专业组名称,2025投档线,2025投档位次,位次比值,2026有美术计划,2026计划人数,2026美术组数,2025备注要求
冲,6112,西安建筑科技大学,普通,第101组(美术与设计类),308.5,2137,0.9,是,4,1,
冲,4605,海南师范大学,普通,第109组(美术与设计类),308.5,2137,0.9,是,14,2,
冲,2133,鲁迅美术学院,普通,第101组(美术与设计类),308.2,2168,0.92,是,15,12,
冲,2106,大连交通大学,普通,第101组(美术与设计类),307.9,2208,0.93,是,4,1,
冲,6129,西安科技大学,普通,第101组(美术与设计类),307.9,2208,0.93,是,1,1,
冲,4345,长沙师范学院,公费/优师/定向,第G99组(麻阳苗族自治县)(省内优师专项(初中教师)(美术)),307.9,2208,0.93,是,163,4,
冲,4219,中南民族大学,普通,第104组(美术与设计类),307.6,2245,0.95,是,25,1,
冲,3731,齐鲁工业大学,普通,第101组(美术与设计类),307.5,2262,0.96,是,2,1,
冲,4220,长江大学,普通,第115组(美术与设计类),307.5,2262,0.96,是,3,2,
冲,3605,南昌航空大学,普通,第104组(美术与设计类),307.2,2299,0.97,是,8,1,
冲,3603,华东交通大学,普通,第104组(美术与设计类),307.1,2312,0.98,是,6,1,
冲,4345,长沙师范学院,公费/优师/定向,第G98组(溆浦县)(省内优师专项(初中教师)(美术)),307.0,2329,0.99,是,163,4,
冲,1411,中北大学,普通,第103组(美术与设计类),306.7,2372,1.0,是,5,1,
冲,5307,云南艺术学院,普通,第119组(美术与设计类),306.7,2372,1.0,是,25,3,
冲,6107,陕西科技大学,普通,第102组(美术与设计类),306.5,2393,1.01,是,8,1,
冲,1128,北京联合大学,普通,第102组(美术与设计类),306.4,2407,1.02,是,6,1,
冲,1304,燕山大学,普通,第104组(美术与设计类),306.4,2407,1.02,是,20,1,
冲,3320,浙江科技大学,普通,第101组(美术与设计类),305.7,2507,1.06,是,31,1,
冲,4312,中南林业科技大学,普通,第103组(美术与设计类),305.6,2527,1.07,是,155,1,
冲,6114,西安外国语大学,普通,第104组(美术与设计类),305.5,2550,1.08,是,2,1,
冲,5112,西南民族大学,普通,第104组(美术与设计类),305.4,2570,1.09,是,11,1,
稳,4230,武汉轻工大学,普通,第101组(美术与设计类),305.0,2635,1.11,是,5,1,
稳,4252,江汉大学,普通,第105组(美术与设计类),305.0,2635,1.11,是,8,2,
稳,3710,青岛科技大学,普通,第101组(美术与设计类),304.9,2655,1.12,是,22,2,
稳,4235,三峡大学,普通,第105组(美术与设计类),304.7,2694,1.14,是,7,2,
稳,3607,东华理工大学,普通,第102组(美术与设计类),304.5,2726,1.15,是,3,1,
稳,3319,温州大学,普通,第104组(美术与设计类),304.3,2750,1.16,是,9,1,外语成绩不低于50分
稳,4348,湖南第一师范学院,公费/优师/定向,第K56组(麻阳苗族自治县)(省内优师专项(小学教师)(美术)),303.9,2810,1.19,是,169,2,
稳,4235,三峡大学,普通,第104组(美术与设计类),303.6,2867,1.21,是,7,2,
稳,6209,西北师范大学,普通,第104组(美术与设计类),303.6,2867,1.21,是,9,2,
稳,6209,西北师范大学,普通,第106组(美术与设计类),303.5,2889,1.22,是,9,2,
稳,4504,桂林电子科技大学,普通,第102组(美术与设计类),303.4,2902,1.23,是,4,1,
稳,5117,西南科技大学,普通,第103组(美术与设计类),303.1,2952,1.25,是,8,1,
稳,3223,江苏师范大学,普通,第105组(美术与设计类),303.1,2952,1.25,是,10,1,
稳,5132,四川传媒学院,普通,第108组(美术与设计类),302.9,2992,1.27,是,2,2,
稳,4310,湖南工业大学,普通,第112组(美术与设计类),302.5,3066,1.3,是,340,3,
保,4305,湖南农业大学,普通,第103组(美术与设计类),302.4,3078,1.3,是,135,1,
保,4424,广东技术师范大学,普通,第103组(美术与设计类),301.8,3166,1.34,否,,,
保,3750,曲阜师范大学,普通,第102组(美术与设计类),301.7,3188,1.35,是,11,1,
保,3510,厦门理工学院,普通,第103组(美术与设计类),301.3,3276,1.39,是,13,1,
保,5307,云南艺术学院,普通,第118组(美术与设计类),301.3,3276,1.39,是,25,3,
保,4306,湖南科技大学,普通,第116组(美术与设计类),300.9,3339,1.41,是,295,4,
保,3612,江西农业大学,普通,第102组(美术与设计类),300.8,3366,1.42,是,4,1,
保,4803,深圳北理莫斯科大学,普通,第102组(美术与设计类),300.8,3366,1.42,是,5,1,
保,5122,四川音乐学院,普通,第123组(美术与设计类),300.8,3366,1.42,否,,,
保,2117,沈阳建筑大学,普通,第101组(美术与设计类),300.5,3412,1.44,是,3,1,
保,3262,南京晓庄学院,普通,第102组(美术与设计类),300.3,3457,1.46,是,2,1,
保,5013,重庆工商大学,普通,第102组(美术与设计类),300.3,3457,1.46,否,,,
保,4509,广西师范大学,普通,第103组(美术与设计类),300.3,3457,1.46,是,15,2,
保,4415,广东海洋大学,普通,第106组(美术与设计类),300.0,3524,1.49,是,3,1,
垫底(过保),5208,贵州师范大学,普通,第109组(美术与设计类),299.8,3548,1.5,是,11,4,
垫底(过保),6121,西安石油大学,普通,第102组(美术与设计类),299.7,3579,1.51,是,6,2,
垫底(过保),5022,重庆科技大学,普通,第101组(美术与设计类),299.6,3609,1.53,是,5,1,
垫底(过保),3739,山东工艺美术学院,普通,第103组(美术与设计类),299.4,3646,1.54,是,28,1,
垫底(过保),1305,石家庄铁道大学,普通,第101组(美术与设计类),299.1,3703,1.57,是,16,1,
垫底(过保),4314,湖南工商大学,普通,第105组(美术与设计类),299.0,3718,1.57,是,281,2,
垫底(过保),2131,大连工业大学,普通,第102组(美术与设计类),298.9,3746,1.58,是,3,1,
垫底(过保),3119,上海商学院,普通,第101组(美术与设计类),298.8,3768,1.59,是,10,1,外语成绩不低于50分
垫底(过保),4105,郑州轻工业大学,普通,第101组(美术与设计类),298.8,3768,1.59,是,32,1,
垫底(过保),3240,南京工程学院,普通,第101组(美术与设计类),298.3,3874,1.64,是,16,1,
垫底(过保),4348,湖南第一师范学院,普通,第134组(美术与设计类),298.3,3874,1.64,是,169,2,
垫底(过保),5208,贵州师范大学,普通,第110组(美术与设计类),298.0,3933,1.66,是,11,4,
垫底(过保),4108,河南工业大学,普通,第102组(美术与设计类),297.9,3958,1.67,是,8,1,
垫底(过保),5311,云南师范大学,普通,第104组(美术与设计类),297.8,3978,1.68,是,9,1,
垫底(过保),4503,桂林理工大学,普通,第101组(美术与设计类),297.7,3997,1.69,是,12,2,
垫底(过保),6202,兰州交通大学,普通,第101组(美术与设计类),297.6,4018,1.7,是,10,1,
垫底(过保),1211,天津商业大学,普通,第101组(美术与设计类),297.0,4145,1.75,是,10,1,
垫底(过保),3720,山东艺术学院,普通,第112组(美术与设计类),297.0,4145,1.75,是,39,2,
垫底(过保),5147,成都工业学院,普通,第101组(美术与设计类),296.9,4170,1.76,是,2,1,
垫底(过保),4444,广东轻工职业技术大学,普通,第101组(美术与设计类),296.7,4216,1.78,是,11,2,
垫底(过保),6203,兰州理工大学,普通,第101组(美术与设计类),296.6,4237,1.79,是,6,1,
垫底(过保),6126,西安工程大学,普通,第103组(美术与设计类),296.4,4276,1.81,是,28,2,
垫底(过保),3419,安徽建筑大学,普通,第101组(美术与设计类),296.2,4327,1.83,是,7,1,
垫底(过保),4106,河南科技大学,普通,第102组(美术与设计类),296.1,4342,1.84,是,6,1,
垫底(过保),5019,重庆文理学院,普通,第103组(美术与设计类),296.1,4342,1.84,是,5,1,
垫底(过保),2215,长春理工大学,普通,第101组(美术与设计类),296.0,4360,1.84,是,15,1,
垫底(过保),3410,合肥大学,普通,第101组(美术与设计类),295.9,4385,1.85,是,10,1,
垫底(过保),4309,南华大学,普通,第101组(美术与设计类),295.9,4385,1.85,是,336,1,
垫底(过保),5310,云南民族大学,普通,第103组(美术与设计类),295.9,4385,1.85,是,4,1,
垫底(过保),5208,贵州师范大学,普通,第108组(美术与设计类),295.8,4409,1.87,是,11,4,
垫底(过保),5208,贵州师范大学,普通,第107组(美术与设计类),295.6,4447,1.88,是,11,4,
垫底(过保),4237,湖北师范大学,普通,第105组(美术与设计类),295.5,4463,1.89,是,4,1,
垫底(过保),4254,武汉商学院,普通,第102组(美术与设计类),295.2,4522,1.91,是,4,1,
垫底(过保),5306,云南农业大学,普通,第101组(美术与设计类),294.9,4603,1.95,是,2,1,
垫底(过保),4512,南宁师范大学,普通,第105组(美术与设计类),294.9,4603,1.95,是,2,1,
垫底(过保),5118,四川轻化工大学,普通,第102组(美术与设计类),294.8,4623,1.96,是,8,1,
垫底(过保),4310,湖南工业大学,普通,第113组(美术与设计类),294.7,4644,1.96,是,340,3,
垫底(过保),2124,沈阳工业大学,普通,第101组(美术与设计类),294.5,4694,1.99,是,6,1,
垫底(过保),4109,河南理工大学,普通,第104组(美术与设计类),294.5,4694,1.99,是,6,1,
垫底(过保),4506,广西艺术学院,普通,第113组(美术与设计类),294.5,4694,1.99,是,52,1,
垫底(过保),1408,山西财经大学,普通,第101组(美术与设计类),294.4,4720,2.0,是,4,1,
垫底(过保),2131,大连工业大学,普通,第103组(美术与设计类),294.1,4772,2.02,是,3,1,
垫底(过保),4315,吉首大学,普通,第104组(美术与设计类),294.0,4790,2.03,是,130,1,
垫底(过保),6205,西北民族大学,普通,第105组(美术与设计类),294.0,4790,2.03,是,4,1,
垫底(过保),2309,哈尔滨师范大学,普通,第108组(美术与设计类),293.9,4815,2.04,是,10,1,
垫底(过保),4337,长沙学院,普通,第105组(美术与设计类),293.8,4829,2.04,是,327,1,
垫底(过保),5187,成都师范学院,普通,第102组(美术与设计类),293.7,4856,2.05,是,4,2,
垫底(过保),3602,南昌师范学院,普通,第104组(美术与设计类),293.7,4856,2.05,是,4,1,
垫底(过保),5020,长江师范学院,普通,第107组(美术与设计类),293.7,4856,2.05,是,6,1,
垫底(过保),3618,江西科技师范大学,普通,第104组(美术与设计类),293.5,4902,2.07,是,4,1,
垫底(过保),4508,广西民族大学,普通,第105组(美术与设计类),293.5,4902,2.07,是,8,2,
垫底(过保),4425,五邑大学,普通,第101组(美术与设计类),293.4,4922,2.08,是,2,1,
垫底(过保),5316,大理大学,普通,第102组(美术与设计类),293.4,4922,2.08,是,8,2,
垫底(过保),5203,贵州财经大学,普通,第103组(美术与设计类),293.4,4922,2.08,是,3,1,
垫底(过保),4218,武汉体育学院,普通,第106组(美术与设计类),293.4,4922,2.08,是,6,1,
垫底(过保),2125,沈阳理工大学,普通,第101组(美术与设计类),293.2,4959,2.1,是,6,1,
垫底(过保),1182,华北科技学院,普通,第101组(美术与设计类),293.0,5005,2.12,是,3,1,
垫底(过保),1312,河北工程大学,普通,第101组(美术与设计类),293.0,5005,2.12,是,6,1,
垫底(过保),1415,山西农业大学,普通,第101组(美术与设计类),293.0,5005,2.12,是,4,1,
垫底(过保),3408,淮北师范大学,普通,第105组(美术与设计类),292.9,5031,2.13,是,9,1,
垫底(过保),5309,西南林业大学,普通,第101组(美术与设计类),292.8,5055,2.14,是,6,1,
垫底(过保),3225,苏州工学院,普通,第103组(美术与设计类),292.8,5055,2.14,是,10,1,
垫底(过保),5207,贵州民族大学,普通,第111组(美术与设计类),292.8,5055,2.14,是,17,3,
垫底(过保),3611,赣南师范大学,普通,第107组(美术与设计类),292.7,5078,2.15,是,12,1,
垫底(过保),1310,河北地质大学,普通,第101组(美术与设计类),292.4,5158,2.18,是,14,2,
垫底(过保),3635,江西水利电力大学,普通,第103组(美术与设计类),292.4,5158,2.18,是,4,1,
垫底(过保),2208,吉林艺术学院,普通,第121组(美术与设计类),292.4,5158,2.18,是,31,1,
垫底(过保),3512,闽南师范大学,普通,第102组(美术与设计类),292.3,5181,2.19,是,8,2,
垫底(过保),3515,泉州师范学院,普通,第103组(美术与设计类),292.3,5181,2.19,是,6,1,
垫底(过保),3735,聊城大学,普通,第105组(美术与设计类),292.2,5198,2.2,是,7,2,
垫底(过保),5207,贵州民族大学,普通,第110组(美术与设计类),292.1,5225,2.21,是,17,3,
垫底(过保),3304,湖州师范学院,普通,第103组(美术与设计类),292.0,5256,2.22,是,12,1,外语成绩不低于50分
垫底(过保),4231,湖北民族大学,普通,第104组(美术与设计类),292.0,5256,2.22,是,12,2,
垫底(过保),2122,大连民族大学,普通,第101组(美术与设计类),291.6,5354,2.26,是,23,1,
垫底(过保),4317,湖南理工学院,普通,第106组(美术与设计类),291.5,5376,2.27,是,175,1,
垫底(过保),4430,惠州学院,普通,第102组(美术与设计类),291.4,5392,2.28,否,,,
垫底(过保),3615,井冈山大学,普通,第104组(美术与设计类),291.3,5418,2.29,是,3,1,
垫底(过保),4316,衡阳师范学院,普通,第116组(美术与设计类),291.1,5470,2.31,是,182,1,
垫底(过保),6304,青海师范大学,普通,第107组(美术与设计类),291.0,5493,2.32,是,6,1,
垫底(过保),5207,贵州民族大学,普通,第112组(美术与设计类),290.8,5543,2.34,是,17,3,
垫底(过保),2207,长春工业大学,普通,第101组(美术与设计类),290.6,5590,2.36,是,15,1,
垫底(过保),4229,湖北汽车工业学院,普通,第101组(美术与设计类),290.6,5590,2.36,是,2,1,
垫底(过保),2137,沈阳音乐学院,普通,第104组(美术与设计类),290.6,5590,2.36,是,5,1,
垫底(过保),4170,河南工程学院,普通,第102组(美术与设计类),290.5,5618,2.38,是,5,2,
垫底(过保),2217,北华大学,普通,第104组(美术与设计类),290.5,5618,2.38,否,,,
垫底(过保),6401,北方民族大学,普通,第104组(美术与设计类),290.5,5618,2.38,是,12,1,
垫底(过保),3517,闽江学院,普通,第102组(美术与设计类),290.4,5637,2.38,是,17,1,
垫底(过保),4110,信阳师范大学,普通,第103组(美术与设计类),290.3,5659,2.39,是,5,1,
垫底(过保),3735,聊城大学,普通,第104组(美术与设计类),290.3,5659,2.39,是,7,2,
垫底(过保),2221,吉林建筑大学,普通,第101组(美术与设计类),290.2,5684,2.4,是,6,1,
垫底(过保),2110,沈阳大学,普通,第104组(美术与设计类),290.2,5684,2.4,是,18,2,
垫底(过保),1507,内蒙古师范大学,普通,第101组(美术与设计类),290.1,5713,2.42,否,,,
垫底(过保),1422,山西传媒学院,普通,第106组(美术与设计类),290.0,5732,2.42,是,4,1,
垫底(过保),2210,吉林师范大学,普通,第102组(美术与设计类),289.5,5857,2.48,是,8,1,
垫底(过保),4318,湖南文理学院,普通,第104组(美术与设计类),289.5,5857,2.48,是,111,2,
垫底(过保),5213,贵州师范学院,普通,第102组(美术与设计类),289.3,5912,2.5,是,31,1,
垫底(过保),4540,北部湾大学,普通,第104组(美术与设计类),289.0,5983,2.53,是,30,1,
垫底(过保),5319,昆明学院,普通,第104组(美术与设计类),289.0,5983,2.53,是,2,1,
垫底(过保),2110,沈阳大学,普通,第105组(美术与设计类),288.9,6010,2.54,是,18,2,
垫底(过保),5316,大理大学,普通,第103组(美术与设计类),288.8,6034,2.55,是,8,2,
垫底(过保),4431,肇庆学院,普通,第101组(美术与设计类),288.5,6117,2.59,是,2,1,
垫底(过保),4420,岭南师范学院,普通,第104组(美术与设计类),288.5,6117,2.59,是,6,1,
垫底(过保),4345,长沙师范学院,普通,第111组(美术与设计类),288.5,6117,2.59,是,163,4,
垫底(过保),3321,台州学院,普通,第101组(美术与设计类),288.4,6144,2.6,是,25,1,
垫底(过保),4257,湖北理工学院,普通,第103组(美术与设计类),288.3,6169,2.61,是,18,2,
垫底(过保),2216,吉林农业大学,普通,第101组(美术与设计类),288.1,6215,2.63,是,5,1,
垫底(过保),5210,遵义师范学院,普通,第104组(美术与设计类),288.1,6215,2.63,是,2,1,
垫底(过保),4423,广东石油化工学院,普通,第103组(美术与设计类),288.0,6242,2.64,是,2,1,
垫底(过保),2317,齐齐哈尔大学,普通,第106组(美术与设计类),287.8,6283,2.66,是,8,1,
垫底(过保),4319,湖南工程学院,普通,第102组(美术与设计类),287.7,6313,2.67,是,305,1,
垫底(过保),4265,湖北文理学院,普通,第101组(美术与设计类),287.6,6338,2.68,是,2,1,
垫底(过保),3514,莆田学院,普通,第102组(美术与设计类),287.3,6413,2.71,是,12,1,
垫底(过保),4111,中原工学院,普通,第102组(美术与设计类),287.0,6496,2.75,是,7,1,
垫底(过保),3347,湖州学院,普通,第101组(美术与设计类),286.9,6518,2.76,是,30,1,
垫底(过保),4320,湖南城市学院,普通,第104组(美术与设计类),286.7,6565,2.78,是,216,2,
垫底(过保),3642,景德镇学院,普通,第101组(美术与设计类),286.6,6593,2.79,是,6,1,
垫底(过保),4530,桂林航天工业学院,普通,第102组(美术与设计类),286.5,6617,2.8,是,6,1,
垫底(过保),5152,四川文理学院,普通,第103组(美术与设计类),286.4,6642,2.81,是,3,1,
垫底(过保),6119,陕西理工大学,普通,第104组(美术与设计类),286.3,6668,2.82,是,36,1,
垫底(过保),6505,新疆师范大学,普通,第105组(美术与设计类),286.3,6668,2.82,是,6,1,
垫底(过保),4323,怀化学院,普通,第104组(美术与设计类),286.2,6702,2.84,是,56,1,
垫底(过保),4351,湖南工学院,普通,第101组(美术与设计类),286.1,6729,2.85,是,45,1,
垫底(过保),4264,湖北工程学院,普通,第105组(美术与设计类),286.1,6729,2.85,是,9,1,
垫底(过保),4236,湖北科技学院,普通,第104组(美术与设计类),286.0,6755,2.86,是,8,1,
垫底(过保),3329,丽水学院,普通,第103组(美术与设计类),285.9,6774,2.87,是,15,1,
垫底(过保),4120,洛阳师范学院,普通,第107组(美术与设计类),285.8,6802,2.88,是,10,1,
垫底(过保),4604,海南热带海洋学院,普通,第102组(美术与设计类),285.7,6831,2.89,是,8,1,
垫底(过保),4170,河南工程学院,普通,第103组(美术与设计类),285.7,6831,2.89,是,5,2,
垫底(过保),3619,九江学院,普通,第104组(美术与设计类),285.7,6831,2.89,是,9,2,
垫底(过保),4538,广西财经学院,普通,第101组(美术与设计类),285.6,6861,2.9,是,14,1,
