综合成绩,本段人数,累计人数
379.8,1,1
369.5,1,2
365.6,2,4
362.3,1,5
362.1,1,6
362,1,7
361,1,8
360.4,1,9
359.6,1,10
358.7,1,11
357.2,1,12
357.1,1,13
356.9,2,15
356.7,1,16
356.2,1,17
356,1,18
355.7,1,19
355.3,1,20
354.8,1,21
354.7,1,22
354.1,1,23
353.9,1,24
353.8,1,25
353.6,1,26
353.5,1,27
353.1,1,28
352.9,1,29
352.7,1,30
352.6,1,31
352.4,3,34
352.2,1,35
351.8,1,36
351.7,1,37
351.1,1,38
351,2,40
350.9,1,41
350.8,1,42
350.7,1,43
350.6,2,45
350.5,1,46
350.1,1,47
349.7,1,48
349.3,1,49
349.1,1,50
349,1,51
348.8,4,55
348.7,1,56
348.5,2,58
348.4,1,59
348.3,1,60
347.9,3,63
347.8,3,66
347.7,1,67
347.6,1,68
347.3,1,69
346.9,1,70
346.8,2,72
346.7,1,73
346.6,2,75
346.1,1,76
345.9,2,78
345.7,3,81
345.6,1,82
345.5,2,84
345.3,2,86
345.2,1,87
345.1,1,88
345,1,89
344.9,2,91
344.5,2,93
344.4,1,94
344.3,1,95
344.2,2,97
344,3,100
343.9,4,104
343.7,2,106
343.5,2,108
343.4,1,109
343.2,1,110
343.1,2,112
343,3,115
342.9,1,116
342.8,1,117
342.6,2,119
342.4,2,121
342.2,1,122
342,1,123
341.9,1,124
341.8,1,125
341.6,1,126
341.5,1,127
341.4,3,130
341.3,1,131
341.2,2,133
341.1,1,134
341,1,135
340.9,1,136
340.7,2,138
340.5,1,139
340.4,3,142
340.1,1,143
339.9,2,145
339.8,2,147
339.7,3,150
339.6,2,152
339.5,2,154
339.4,3,157
339.3,1,158
339.2,3,161
339.1,1,162
339,2,164
338.9,1,165
338.8,2,167
338.7,2,169
338.6,2,171
338.5,2,173
338.4,2,175
338.3,1,176
338,1,177
337.9,1,178
337.7,2,180
337.6,1,181
337.5,2,183
337.4,5,188
337.3,2,190
337.2,4,194
337.1,1,195
337,3,198
336.9,6,204
336.8,4,208
336.7,2,210
336.5,5,215
336.4,2,217
336.3,2,219
336.2,1,220
336.1,2,222
336,1,223
335.9,3,226
335.8,2,228
335.7,1,229
335.6,2,231
335.5,2,233
335.4,1,234
335.3,3,237
335.2,1,238
335.1,2,240
335,3,243
334.9,3,246
334.8,4,250
334.7,3,253
334.6,2,255
334.5,2,257
334.4,1,258
334.3,1,259
334.2,1,260
334.1,1,261
334,1,262
333.9,2,264
333.8,2,266
333.6,4,270
333.5,4,274
333.4,4,278
333.3,4,282
333.2,1,283
333.1,1,284
333,5,289
332.8,3,292
332.7,3,295
332.6,4,299
332.5,4,303
332.4,3,306
332.2,6,312
332.1,6,318
332,4,322
331.9,3,325
331.8,3,328
331.7,2,330
331.6,3,333
331.5,3,336
331.4,3,339
331.3,3,342
331.2,3,345
331.1,4,349
331,2,351
330.9,6,357
330.8,4,361
330.7,1,362
330.6,7,369
330.4,4,373
330.3,4,377
330.2,4,381
330.1,1,382
330,5,387
329.9,3,390
329.8,1,391
329.7,2,393
329.6,1,394
329.5,4,398
329.4,5,403
329.3,3,406
329.2,1,407
329.1,2,409
329,1,410
328.9,1,411
328.8,6,417
328.6,1,418
328.5,6,424
328.4,4,428
328.3,5,433
328.2,4,437
328.1,3,440
327.9,1,441
327.8,5,446
327.7,8,454
327.6,3,457
327.5,4,461
327.4,7,468
327.3,5,473
327.2,7,480
327.1,4,484
327,5,489
326.9,4,493
326.8,3,496
326.7,8,504
326.6,2,506
326.5,4,510
326.4,5,515
326.3,1,516
326.2,2,518
326.1,2,520
326,3,523
325.9,3,526
325.8,4,530
325.7,5,535
325.6,5,540
325.5,5,545
325.4,2,547
325.3,3,550
325.2,3,553
325.1,1,554
325,7,561
324.9,5,566
324.7,2,568
324.6,8,576
324.5,2,578
324.4,5,583
324.3,4,587
324.2,5,592
324.1,7,599
324,1,600
323.9,8,608
323.8,2,610
323.7,7,617
323.6,3,620
323.5,6,626
323.4,1,627
323.3,8,635
323.2,5,640
323.1,5,645
323,3,648
322.9,10,658
322.8,6,664
322.7,6,670
322.6,6,676
322.5,6,682
322.4,5,687
322.3,9,696
322.2,1,697
322.1,8,705
322,6,711
321.9,9,720
321.8,8,728
321.7,4,732
321.6,5,737
321.5,6,743
321.4,4,747
321.3,8,755
321.2,4,759
321.1,5,764
321,2,766
320.9,3,769
320.8,5,774
320.7,8,782
320.6,5,787
320.5,9,796
320.4,4,800
320.3,4,804
320.2,6,810
320.1,2,812
320,10,822
319.9,5,827
319.8,2,829
319.7,4,833
319.6,1,834
319.5,10,844
319.4,3,847
319.3,7,854
319.2,5,859
319,5,864
318.9,8,872
318.8,11,883
318.7,5,888
318.6,5,893
318.5,7,900
318.4,3,903
318.3,7,910
318.2,8,918
318.1,6,924
318,4,928
317.9,4,932
317.8,10,942
317.7,3,945
317.6,6,951
317.5,7,958
317.4,8,966
317.3,4,970
317.2,5,975
317.1,13,988
317,5,993
316.9,9,1002
316.8,5,1007
316.7,8,1015
316.6,6,1021
316.5,6,1027
316.4,5,1032
316.3,5,1037
316.2,10,1047
316.1,9,1056
316,9,1065
315.9,6,1071
315.8,10,1081
315.7,5,1086
315.6,8,1094
315.5,4,1098
315.4,8,1106
315.3,13,1119
315.2,5,1124
315.1,3,1127
315,4,1131
314.9,7,1138
314.8,9,1147
314.7,6,1153
314.6,10,1163
314.5,3,1166
314.4,13,1179
314.3,6,1185
314.2,6,1191
314.1,13,1204
314,3,1207
313.9,4,1211
313.8,10,1221
313.7,7,1228
313.6,12,1240
313.5,14,1254
313.4,6,1260
313.3,9,1269
313.2,13,1282
313.1,8,1290
313,7,1297
312.9,10,1307
312.8,10,1317
312.7,7,1324
312.6,11,1335
312.5,10,1345
312.4,6,1351
312.3,10,1361
312.2,7,1368
312.1,8,1376
312,5,1381
311.9,7,1388
311.8,14,1402
311.7,8,1410
311.6,11,1421
311.5,9,1430
311.4,9,1439
311.3,10,1449
311.2,11,1460
311.1,3,1463
311,10,1473
310.9,12,1485
310.8,12,1497
310.7,8,1505
310.6,8,1513
310.5,6,1519
310.4,13,1532
310.3,12,1544
310.2,8,1552
310.1,8,1560
310,10,1570
309.9,10,1580
309.8,6,1586
309.7,11,1597
309.6,9,1606
309.5,8,1614
309.4,8,1622
309.3,5,1627
309.2,10,1637
309.1,12,1649
309,12,1661
308.9,12,1673
308.8,12,1685
308.7,12,1697
308.6,13,1710
308.5,12,1722
308.4,14,1736
308.3,16,1752
308.2,13,1765
308.1,8,1773
308,8,1781
307.9,12,1793
307.8,12,1805
307.7,13,1818
307.6,17,1835
307.5,14,1849
307.4,4,1853
307.3,17,1870
307.2,11,1881
307.1,13,1894
307,20,1914
306.9,12,1926
306.8,18,1944
306.7,15,1959
306.6,19,1978
306.5,9,1987
306.4,13,2000
306.3,11,2011
306.2,7,2018
306.1,13,2031
306,8,2039
305.9,12,2051
305.8,9,2060
305.7,11,2071
305.6,6,2077
305.5,7,2084
305.4,11,2095
305.3,15,2110
305.2,12,2122
305.1,3,2125
305,9,2134
304.9,14,2148
304.8,14,2162
304.7,13,2175
304.6,10,2185
304.5,11,2196
304.4,16,2212
304.3,9,2221
304.2,14,2235
304.1,15,2250
304,11,2261
303.9,16,2277
303.8,15,2292
303.7,12,2304
303.6,16,2320
303.5,14,2334
303.4,15,2349
303.3,16,2365
303.2,16,2381
303.1,11,2392
303,12,2404
302.9,14,2418
302.8,8,2426
302.7,14,2440
302.6,12,2452
302.5,8,2460
302.4,13,2473
302.3,18,2491
302.2,17,2508
302.1,9,2517
302,15,2532
301.9,10,2542
301.8,13,2555
301.7,22,2577
301.6,15,2592
301.5,10,2602
301.4,15,2617
301.3,10,2627
301.2,14,2641
301.1,13,2654
301,12,2666
300.9,17,2683
300.8,17,2700
300.7,23,2723
300.6,14,2737
300.5,15,2752
300.4,12,2764
300.3,14,2778
300.2,14,2792
300.1,14,2806
300,17,2823
299.9,10,2833
299.8,16,2849
299.7,21,2870
299.6,15,2885
299.5,16,2901
299.4,18,2919
299.3,22,2941
299.2,16,2957
299.1,17,2974
299,12,2986
298.9,20,3006
298.8,18,3024
298.7,11,3035
298.6,13,3048
298.5,16,3064
298.4,13,3077
298.3,16,3093
298.2,20,3113
298.1,13,3126
298,14,3140
297.9,14,3154
297.8,18,3172
297.7,18,3190
297.6,19,3209
297.5,20,3229
297.4,17,3246
297.3,22,3268
297.2,19,3287
297.1,11,3298
297,21,3319
296.9,19,3338
296.8,18,3356
296.7,20,3376
296.6,30,3406
296.5,21,3427
296.4,13,3440
296.3,17,3457
296.2,13,3470
296.1,24,3494
296,20,3514
295.9,18,3532
295.8,16,3548
295.7,15,3563
295.6,24,3587
295.5,27,3614
295.4,15,3629
295.3,30,3659
295.2,23,3682
295.1,23,3705
295,24,3729
294.9,19,3748
294.8,15,3763
294.7,23,3786
294.6,18,3804
294.5,20,3824
294.4,20,3844
294.3,22,3866
294.2,11,3877
294.1,21,3898
294,19,3917
293.9,10,3927
293.8,23,3950
293.7,18,3968
293.6,24,3992
293.5,26,4018
293.4,18,4036
293.3,13,4049
293.2,27,4076
293.1,18,4094
293,21,4115
292.9,21,4136
292.8,19,4155
292.7,32,4187
292.6,17,4204
292.5,17,4221
292.4,14,4235
292.3,21,4256
292.2,25,4281
292.1,30,4311
292,25,4336
291.9,21,4357
291.8,17,4374
291.7,27,4401
291.6,14,4415
291.5,25,4440
291.4,18,4458
291.3,23,4481
291.2,17,4498
291.1,22,4520
291,16,4536
290.9,24,4560
290.8,22,4582
290.7,27,4609
290.6,16,4625
290.5,18,4643
290.4,24,4667
290.3,18,4685
290.2,22,4707
290.1,20,4727
290,20,4747
289.9,14,4761
289.8,14,4775
289.7,22,4797
289.6,24,4821
289.5,28,4849
289.4,18,4867
289.3,18,4885
289.2,21,4906
289.1,18,4924
289,19,4943
288.9,29,4972
288.8,21,4993
288.7,20,5013
288.6,27,5040
288.5,23,5063
288.4,22,5085
288.3,23,5108
288.2,29,5137
288.1,22,5159
288,20,5179
287.9,21,5200
287.8,30,5230
287.7,23,5253
287.6,27,5280
287.5,19,5299
287.4,20,5319
287.3,17,5336
287.2,27,5363
287.1,25,5388
287,19,5407
286.9,24,5431
286.8,23,5454
286.7,26,5480
286.6,24,5504
286.5,25,5529
286.4,27,5556
286.3,19,5575
286.2,27,5602
286.1,24,5626
286,19,5645
285.9,17,5662
285.8,20,5682
285.7,23,5705
285.6,23,5728
285.5,19,5747
285.4,23,5770
285.3,30,5800
285.2,22,5822
285.1,21,5843
285,20,5863
284.9,21,5884
284.8,16,5900
284.7,25,5925
284.6,20,5945
284.5,23,5968
284.4,26,5994
284.3,21,6015
284.2,25,6040
284.1,34,6074
284,19,6093
283.9,18,6111
283.8,23,6134
283.7,14,6148
283.6,28,6176
283.5,29,6205
283.4,21,6226
283.3,19,6245
283.2,14,6259
283.1,23,6282
283,25,6307
282.9,35,6342
282.8,27,6369
282.7,15,6384
282.6,34,6418
282.5,22,6440
282.4,26,6466
282.3,32,6498
282.2,25,6523
282.1,20,6543
282,24,6567
281.9,16,6583
281.8,25,6608
281.7,19,6627
281.6,17,6644
281.5,20,6664
281.4,24,6688
281.3,19,6707
281.2,25,6732
281.1,25,6757
281,24,6781
280.9,24,6805
280.8,24,6829
280.7,30,6859
280.6,26,6885
280.5,20,6905
280.4,31,6936
280.3,21,6957
280.2,25,6982
280.1,16,6998
280,21,7019
279.9,15,7034
279.8,23,7057
279.7,25,7082
279.6,25,7107
279.5,25,7132
279.4,19,7151
279.3,25,7176
279.2,20,7196
279.1,32,7228
279,28,7256
278.9,24,7280
278.8,9,7289
278.7,19,7308
278.6,24,7332
278.5,17,7349
278.4,18,7367
278.3,19,7386
278.2,18,7404
278.1,25,7429
278,27,7456
277.9,24,7480
277.8,30,7510
277.7,31,7541
277.6,18,7559
277.5,25,7584
277.4,24,7608
277.3,19,7627
277.2,23,7650
277.1,23,7673
277,44,7717
276.9,22,7739
276.8,24,7763
276.7,25,7788
276.6,26,7814
276.5,11,7825
276.4,23,7848
276.3,18,7866
276.2,15,7881
276.1,28,7909
276,20,7929
275.9,16,7945
275.8,13,7958
275.7,28,7986
275.6,13,7999
275.5,21,8020
275.4,30,8050
275.3,12,8062
275.2,19,8081
275.1,21,8102
275,21,8123
274.9,26,8149
274.8,23,8172
274.7,34,8206
274.6,19,8225
274.5,21,8246
274.4,19,8265
274.3,15,8280
274.2,23,8303
274.1,19,8322
274,25,8347
273.9,26,8373
273.8,16,8389
273.7,25,8414
273.6,28,8442
273.5,20,8462
273.4,23,8485
273.3,20,8505
273.2,28,8533
273.1,24,8557
273,29,8586
272.9,28,8614
272.8,23,8637
272.7,20,8657
272.6,30,8687
272.5,22,8709
272.4,19,8728
272.3,18,8746
272.2,16,8762
272.1,27,8789
272,26,8815
271.9,20,8835
271.8,23,8858
271.7,16,8874
271.6,28,8902
271.5,22,8924
271.4,22,8946
271.3,18,8964
271.2,17,8981
271.1,19,9000
271,20,9020
270.9,24,9044
270.8,19,9063
270.7,13,9076
270.6,20,9096
270.5,17,9113
270.4,19,9132
270.3,24,9156
270.2,13,9169
270.1,20,9189
270,29,9218
269.9,19,9237
269.8,24,9261
269.7,17,9278
269.6,26,9304
269.5,21,9325
269.4,18,9343
269.3,24,9367
269.2,17,9384
269.1,23,9407
269,8,9415
268.9,20,9435
268.8,19,9454
268.7,18,9472
268.6,19,9491
268.5,19,9510
268.4,23,9533
268.3,18,9551
268.2,19,9570
268.1,21,9591
268,10,9601
267.9,19,9620
267.8,17,9637
267.7,18,9655
267.6,24,9679
267.5,17,9696
267.4,21,9717
267.3,22,9739
267.2,24,9763
267.1,16,9779
267,18,9797
266.9,21,9818
266.8,17,9835
266.7,30,9865
266.6,20,9885
266.5,12,9897
266.4,17,9914
266.3,20,9934
266.2,20,9954
266.1,23,9977
266,17,9994
265.9,9,10003
265.8,17,10020
265.7,13,10033
265.6,15,10048
265.5,17,10065
265.4,14,10079
265.3,11,10090
265.2,17,10107
265.1,13,10120
265,17,10137
264.9,19,10156
264.8,19,10175
264.7,15,10190
264.6,9,10199
264.5,15,10214
264.4,13,10227
264.3,27,10254
264.2,11,10265
264.1,15,10280
264,16,10296
263.9,15,10311
263.8,12,10323
263.7,10,10333
263.6,11,10344
263.5,20,10364
263.4,12,10376
263.3,18,10394
263.2,11,10405
263.1,5,10410
263,7,10417
262.9,9,10426
262.8,13,10439
262.7,8,10447
262.6,11,10458
262.5,12,10470
262.4,10,10480
262.3,9,10489
262.2,16,10505
262.1,17,10522
262,8,10530
261.9,9,10539
261.8,16,10555
261.7,9,10564
261.6,12,10576
261.5,14,10590
261.4,20,10610
261.3,7,10617
261.2,9,10626
261.1,14,10640
261,10,10650
260.9,13,10663
260.8,14,10677
260.7,5,10682
260.6,8,10690
260.5,7,10697
260.4,6,10703
260.3,11,10714
260.2,7,10721
260.1,7,10728
260,13,10741
259.9,10,10751
259.8,11,10762
259.7,7,10769
259.6,12,10781
259.5,9,10790
259.4,9,10799
259.3,8,10807
259.2,8,10815
259.1,15,10830
259,8,10838
258.9,7,10845
258.8,4,10849
258.7,11,10860
258.6,8,10868
258.5,11,10879
258.4,10,10889
258.3,6,10895
258.2,6,10901
258.1,6,10907
258,11,10918
257.9,5,10923
257.8,7,10930
257.7,9,10939
257.6,12,10951
257.5,7,10958
257.4,8,10966
257.3,8,10974
257.2,5,10979
257.1,1,10980
257,9,10989
256.9,4,10993
256.8,5,10998
256.7,4,11002
256.6,7,11009
256.5,7,11016
256.4,7,11023
256.3,2,11025
256.2,4,11029
256.1,5,11034
256,3,11037
255.9,3,11040
255.8,1,11041
255.7,4,11045
255.6,8,11053
255.5,4,11057
255.4,5,11062
255.3,2,11064
255.2,6,11070
255.1,3,11073
255,7,11080
254.9,8,11088
254.8,3,11091
254.7,2,11093
254.6,5,11098
254.5,1,11099
254.4,1,11100
254.3,1,11101
254.2,6,11107
254.1,4,11111
254,6,11117
253.9,1,11118
253.8,6,11124
253.7,1,11125
253.6,3,11128
253.5,4,11132
253.4,3,11135
253.3,4,11139
253.2,2,11141
253.1,3,11144
253,2,11146
252.9,4,11150
252.8,3,11153
252.7,5,11158
252.6,2,11160
252.5,1,11161
252.4,3,11164
252.3,2,11166
252.2,3,11169
252.1,3,11172
252,1,11173
251.7,2,11175
251.6,1,11176
251.5,1,11177
251.4,2,11179
251.3,2,11181
251.1,1,11182
251,2,11184
250.8,1,11185
250.6,3,11188
250.5,2,11190
250.2,1,11191
250.1,4,11195
250,2,11197
249.9,1,11198
249.6,1,11199
249.3,1,11200
249.2,1,11201
249,1,11202
248.9,1,11203
248.8,1,11204
248.5,3,11207
248.3,1,11208
248.2,2,11210
247.9,2,11212
247.2,1,11213
246.6,1,11214
246.4,1,11215
246.3,1,11216
245.5,1,11217
245,1,11218
244.8,1,11219
244.4,2,11221
244.3,1,11222
243.6,1,11223
243.4,1,11224
243,1,11225
242.3,1,11226
239.3,1,11227
236.9,1,11228
